HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY,Distance,Cumulative_Distance
1717368402410,2024-06-03 01:46:42,23.0,-4.0,37.5,208,4376,1,0,6402,4383.905222515651,87.58141035545447,0,0,0,0,1,15,-0.9656711963981988,1.2839727595406798,-1.761199550207673,0.2965382936191811,-0.2595990119409302,0.0633111012392976,0.3238097061219455,38.2099463490856,38.2099463490856
1717368408428,2024-06-03 01:46:48,65.0,36.0,35.3,215,4263,1,0,6408,4229.660624683735,87.96764558449374,0,0,0,0,1,15,-1.0914524834302777,1.2905997079533824,-1.7608423495802186,0.7268975515392062,0.12572033003405,0.065124232034197,0.2660163399131603,113.21660655575224,151.42655290483782
1717368414198,2024-06-03 01:46:54,22.0,58.0,33.6,306,4355,1,0,6414,4306.374925618995,86.21867117060874,0,0,0,0,1,15,-1.028894548559079,1.2605911475100928,-1.7604851489527642,0.2862916446210852,0.3376459681202892,0.0886949323678894,0.3130693460300474,129.40247292845683,280.8290258332947
1717368420278,2024-06-03 01:47:00,17.0,-116.0,36.0,215,4343,1,0,6420,4463.393888063208,87.4574754707515,0,0,0,0,1,15,-0.9008508604021896,1.2818463090625507,-1.7601279483253098,0.235058399630606,-1.338493169470875,0.065124232034197,0.3069319974061056,91.7877987534291,372.6168245867238
1717368426204,2024-06-03 01:47:06,-73.0,134.0,38.9,315,4376,0,0,6426,4259.707501695392,84.7739092407093,0,0,0,0,1,15,-1.0669502647792275,1.2358022052846622,-1.7597707476978557,-0.6871400101980193,1.069752717872752,0.0910261005327601,0.3238097061219455,105.30432089900205,477.92114548572584
1717368431887,2024-06-03 01:47:11,13.0,171.0,34.6,338,4493,1,0,6431,4334.202233398899,85.69964160673871,0,0,0,0,1,15,-1.0062023140407053,1.25168573990916,-1.75947308050831,0.1940718036382227,1.4261731091996086,0.0969835302874296,0.383648855205378,119.23925528113634,597.1604007668622
1717368437978,2024-06-03 01:47:17,-37.0,198.0,38.6,90,4397,0,0,6437,4200.920137303255,88.26760028536752,0,0,0,0,1,15,-1.1148893852307888,1.2957462719625297,-1.7591158798808555,-0.3182606462665691,1.6862636650327203,0.0327468964109931,0.3345500662138436,265.9323222175146,863.0927229843767
1717368443804,2024-06-03 01:47:23,-93.0,95.0,36.1,223,4491,0,0,6443,4407.342963736768,85.88844914765517,0,0,0,0,1,15,-0.9465585059224556,1.2549252627167893,-1.7587586792534011,-0.892072990159936,0.6940663594471461,0.0671963815140821,0.3826259637680543,162.8649747490233,1025.9576977334
1717368449580,2024-06-03 01:47:29,-53.0,79.0,35.0,247,4234,1,0,6449,4165.816246547608,85.87028693870094,0,0,0,0,1,15,-1.1435154286782896,1.2546136390927616,-1.758401478625947,-0.4822070302361025,0.5399386226571539,0.0734128299537372,0.2511844140719677,258.11818998280614,1284.0758877162061
1717368455596,2024-06-03 01:47:35,-37.0,25.0,37.5,303,4350,1,0,6455,4338.343577910814,85.50506740314059,0,0,0,0,1,15,-1.0028251867372286,1.2483472738326842,-1.7580442779984926,-0.3182606462665691,0.0197575109909304,0.0879178763129325,0.3105121174367383,128.80993750483694,1412.8858252210432
1717368461852,2024-06-03 01:47:41,-63.0,131.0,34.8,372,4316,1,0,6461,4207.54679118367,84.06583454045106,0,0,0,0,1,15,-1.1094855716417833,1.2236531982595311,-1.7576870773710382,-0.5846735202170609,1.0408537672246283,0.1057901655769411,0.2931229630022365,76.92203845452875,1489.8078636755718
1717368468065,2024-06-03 01:47:48,-2.0,52.0,36.1,287,4375,1,0,6468,4332.649304986499,86.17536924489444,0,0,0,0,1,15,-1.0074686749838166,1.2598481815497031,-1.7572703433056749,0.0403720686667851,0.2798480668240422,0.0837735773531624,0.3232982604032837,103.46980235798269,1593.2776660335546
1717368474253,2024-06-03 01:47:54,-60.0,-65.0,33.6,284,4425,1,0,6474,4503.158447134633,85.61885985941544,0,0,0,0,1,15,-0.8684241985380419,1.2502997025103166,-1.7569131426782203,-0.5539335732227734,-0.8472110084527751,0.0829965212982056,0.3488705463363745,50.08991914547278,1643.3675851790274
1717368479900,2024-06-03 01:47:59,-103.0,152.0,41.5,237,4291,0,0,6479,4152.94124687552,85.30395648202207,0,0,0,0,1,15,-1.1540145583207913,1.2448966520372602,-1.756615475488675,-0.9945394801408944,1.243146421761493,0.0708226431038809,0.2803368200356911,142.00352108310554,1785.3711062621328
1717368485544,2024-06-03 01:48:05,-42.0,153.0,36.6,222,4358,1,0,6485,4213.279126761007,86.4075484305511,0,0,0,0,1,15,-1.1048110445805313,1.2638318665431134,-1.7562582748612203,-0.3694938912570483,1.2527794053108676,0.0669373628290964,0.3146036831860328,68.65857557508748,1854.0296818372203
1717368491699,2024-06-03 01:48:11,60.0,24.0,35.8,176,4436,1,0,6491,4413.524668561398,88.49393028036152,0,0,0,0,1,15,-0.9415175333384972,1.2996295976881589,-1.7559010742337662,0.6756643065487271,0.0101245274415559,0.0550225033197574,0.3544964492416544,90.55385138137417,1944.5835332185945
1717368497708,2024-06-03 01:48:17,37.0,167.0,39.1,307,4638,1,0,6497,4479.145119328017,86.54415207395617,0,0,0,0,1,15,-0.8880062605349929,1.2661756851017787,-1.7555438736063118,0.4399913795925228,1.3876411750021107,0.0889539510528751,0.4578084844113413,240.75921581530375,2185.342749033898
1717368503289,2024-06-03 01:48:23,-71.0,140.0,34.3,302,4373,0,0,6503,4249.402075586635,84.96426446814104,0,0,0,0,1,15,-1.0753539935165284,1.2390682829943942,-1.7551866729788574,-0.6666467122018276,1.127550619168999,0.0876588576279469,0.3222753689659601,265.04716561397146,2450.38991464787
