HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY
1627484952783,2021-07-28 18:09:12,-15.0,57.0,42.8,3032,70,1,0,65352,3047.0277320694013,0.24445048055778784,0,0,1,0,0,0,-2.055849871801702,-0.21453769237456535,1.7482966145317054,-0.09283436830846072,0.3280129845709147,0.7947798676387196,-1.8784755584358344
1627484957184,2021-07-28 18:09:17,31.0,-38.0,42.2,3071,266,1,1,65357,3055.1621888207505,5.710593137499643,0,0,1,0,0,0,-2.049216495632467,-0.12075068725301998,1.7485942817212505,0.3785114856039478,-0.5871204526196635,0.8048815963531591,-1.7782321975781183
1627485031621,2021-07-28 18:10:31,-12.0,-132.0,33.3,-67,3090,1,0,65431,3222.469394734417,-89.02204784472046,1,0,0,0,0,1,-1.9127830906033056,-1.7461547871064471,1.7529997561265214,-0.06209442131417321,-1.492620906260867,-0.007919037131750885,-0.3339094880771499
1627485038267,2021-07-28 18:10:38,29.0,-62.0,32.4,-80,3174,1,0,65438,3237.8352336090234,-88.07080356589265,1,0,0,0,0,1,-1.9002527652814316,-1.7298335240788596,1.753416490191885,0.3580181876077561,-0.8183120578046517,-0.011286280036564088,-0.29094804770955734
1627485052986,2021-07-28 18:10:52,15.0,-62.0,37.1,-128,3285,1,0,65452,3350.053432409698,-87.55353554054533,1,0,0,0,0,1,-1.808742594604648,-1.7209583406108886,1.7542499583226117,0.2145651016344144,-0.8183120578046517,-0.023719176915874378,-0.23417757293809577
1627485060496,2021-07-28 18:11:00,57.0,178.0,39.6,-60,3449,1,0,65460,3273.0918105057794,-87.95146759314449,1,0,0,0,0,1,-1.8715022114159932,-1.7277859808313187,1.7547262258258842,0.6449243595544396,1.4936039940452301,-0.006105906336851467,-0.15030047507755792
1627485065971,2021-07-28 18:11:05,-57.0,57.0,36.4,-45,3173,1,0,65465,3116.023106461183,89.77934982182457,0,0,0,0,1,1,-1.9995864621767157,1.3216845744212353,1.7550238930154296,-0.5231936262284859,0.3280129845709147,-0.002220626062067003,-0.29145949342821914
1627485081918,2021-07-28 18:11:21,78.0,-91.0,48.4,-3577,-232,1,0,65481,3657.7186879255764,2.2092204897001273,0,0,1,0,0,1,-1.5578519160473923,-0.1808265533730844,1.7559764280219747,0.8601039885144521,-1.0976685807365123,-0.9170746214313157,-2.0329321654717027
1627485085722,2021-07-28 18:11:25,159.0,40.0,46.9,-3483,317,0,1,65485,3652.5187200067844,-4.349377795210402,0,0,1,0,0,1,-1.5620923151702448,-0.29335769819344276,1.756214561773611,1.6900825573602147,0.1642522642315481,-0.8927268650426664,-1.7521484659263658
1627485089384,2021-07-28 18:11:29,-48.0,-112.0,44.8,-3634,359,1,1,65489,3616.79927560267,-7.482631371997582,0,0,1,0,0,1,-1.5912203219359418,-0.34711744939204114,1.756452695525247,-0.43097378524562335,-1.299961235273377,-0.9318386864754967,-1.7306677457425694
1627485092964,2021-07-28 18:11:32,-213.0,13.0,45.2,-3539,438,1,1,65492,3353.0435428130068,-7.281857139554738,0,0,1,0,0,1,-1.8063042600361594,-0.34367260443497116,1.7566312958389743,-2.1216708699314366,-0.09583829160156361,-0.9072319114018618,-1.690263533968286
1627485097059,2021-07-28 18:11:37,-41.0,-51.0,44.9,-3430,23,1,0,65497,3389.807811661304,-1.2508746066460563,0,0,1,0,0,1,-1.7763242340415288,-0.24019418734983983,1.7569289630285196,-0.3592472422589525,-0.712349238761532,-0.878998874738428,-1.9025135072129395
1627485100591,2021-07-28 18:11:40,-152.0,-24.0,48.0,-3314,27,0,0,65500,3162.411263577209,-0.9240453527727062,0,0,1,0,0,1,-1.961758478654996,-0.2345865150239149,1.7571075633422468,-1.4966252810475906,-0.45225868292842036,-0.8489527072800948,-1.9004677243382924
