HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627575402797,Thu Jul 29 2021 19:16:42 GMT+0300 (Israel Daylight Time),-21.0,113.0,40.0,-4432,3097,FALSE,FALSE
1627575405851,Thu Jul 29 2021 19:16:45 GMT+0300 (Israel Daylight Time),160.0,-18.0,37.7,-4664,3381,TRUE,FALSE
1627575409026,Thu Jul 29 2021 19:16:49 GMT+0300 (Israel Daylight Time),-6.0,1.0,40.5,-4642,3474,TRUE,FALSE
1627575412143,Thu Jul 29 2021 19:16:52 GMT+0300 (Israel Daylight Time),150.0,-49.0,39.9,-4255,3559,TRUE,FALSE
1627575415352,Thu Jul 29 2021 19:16:55 GMT+0300 (Israel Daylight Time),-130.0,-25.0,40.8,-4358,3897,FALSE,FALSE
1627575419466,Thu Jul 29 2021 19:16:59 GMT+0300 (Israel Daylight Time),169.0,-16.0,39.2,-4195,3461,FALSE,FALSE
1627575423503,Thu Jul 29 2021 19:17:03 GMT+0300 (Israel Daylight Time),93.0,-102.0,40.2,-4033,3697,TRUE,FALSE
1627575426473,Thu Jul 29 2021 19:17:06 GMT+0300 (Israel Daylight Time),20.0,-19.0,39.8,-4154,3794,TRUE,FALSE
1627575537103,Thu Jul 29 2021 19:18:57 GMT+0300 (Israel Daylight Time),-6.0,-103.0,46.3,169,5104,TRUE,FALSE
1627575561721,Thu Jul 29 2021 19:19:21 GMT+0300 (Israel Daylight Time),16.0,-117.0,42.9,103,4994,TRUE,FALSE
1627575564779,Thu Jul 29 2021 19:19:24 GMT+0300 (Israel Daylight Time),-61.0,-68.0,42.3,-14,5248,TRUE,FALSE
1627575567858,Thu Jul 29 2021 19:19:27 GMT+0300 (Israel Daylight Time),41.0,-56.0,39.5,188,5088,TRUE,FALSE
1627575570976,Thu Jul 29 2021 19:19:30 GMT+0300 (Israel Daylight Time),-13.0,-119.0,41.7,185,5121,TRUE,FALSE
1627575574118,Thu Jul 29 2021 19:19:34 GMT+0300 (Israel Daylight Time),52.0,3.0,42.3,32,5286,TRUE,FALSE
1627575577355,Thu Jul 29 2021 19:19:37 GMT+0300 (Israel Daylight Time),-2.0,-137.0,44.0,75,5160,TRUE,FALSE
1627575580509,Thu Jul 29 2021 19:19:40 GMT+0300 (Israel Daylight Time),47.0,48.0,39.0,126,5358,TRUE,FALSE
1627575583608,Thu Jul 29 2021 19:19:43 GMT+0300 (Israel Daylight Time),129.0,-250.0,41.7,175,5215,FALSE,FALSE
1627575586770,Thu Jul 29 2021 19:19:46 GMT+0300 (Israel Daylight Time),2.0,-178.0,38.3,48,5473,FALSE,FALSE
1627575589904,Thu Jul 29 2021 19:19:49 GMT+0300 (Israel Daylight Time),42.0,-67.0,41.0,3,5561,TRUE,FALSE
1627575593049,Thu Jul 29 2021 19:19:53 GMT+0300 (Israel Daylight Time),24.0,-95.0,43.2,96,5240,TRUE,FALSE
1627575601949,Thu Jul 29 2021 19:20:01 GMT+0300 (Israel Daylight Time),-58.0,-7.0,40.9,4128,3138,TRUE,FALSE
1627575605244,Thu Jul 29 2021 19:20:05 GMT+0300 (Israel Daylight Time),21.0,-151.0,38.9,4220,3068,TRUE,FALSE
1627575608204,Thu Jul 29 2021 19:20:08 GMT+0300 (Israel Daylight Time),-58.0,-167.0,39.6,4145,3154,FALSE,FALSE
1627575611633,Thu Jul 29 2021 19:20:11 GMT+0300 (Israel Daylight Time),-16.0,1.0,41.2,4363,3069,TRUE,FALSE
1627575614615,Thu Jul 29 2021 19:20:14 GMT+0300 (Israel Daylight Time),-34.0,-189.0,41.2,4155,3040,FALSE,FALSE
1627575617782,Thu Jul 29 2021 19:20:17 GMT+0300 (Israel Daylight Time),-157.0,-98.0,38.5,4399,3076,FALSE,FALSE
