HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1717367505618,Mon Jun 03 2024 01:31:45 GMT+0300 (Israel Daylight Time),1.0,35.0,30.0,173,2034,TRUE,FALSE
1717367511221,Mon Jun 03 2024 01:31:51 GMT+0300 (Israel Daylight Time),87.0,135.0,51.4,138,1923,TRUE,FALSE
1717367516977,Mon Jun 03 2024 01:31:56 GMT+0300 (Israel Daylight Time),-66.0,42.0,41.7,210,1959,TRUE,FALSE
1717367522651,Mon Jun 03 2024 01:32:02 GMT+0300 (Israel Daylight Time),50.0,-29.0,42.3,80,2004,TRUE,FALSE
1717367528580,Mon Jun 03 2024 01:32:08 GMT+0300 (Israel Daylight Time),21.0,-60.0,45.4,107,1988,TRUE,FALSE
1717367533910,Mon Jun 03 2024 01:32:13 GMT+0300 (Israel Daylight Time),-19.0,70.0,37.5,93,1956,TRUE,FALSE
1717367539689,Mon Jun 03 2024 01:32:19 GMT+0300 (Israel Daylight Time),23.0,4.0,46.1,97,1923,TRUE,FALSE
1717367545975,Mon Jun 03 2024 01:32:25 GMT+0300 (Israel Daylight Time),7.0,-2.0,43.6,147,2102,TRUE,FALSE
1717367552108,Mon Jun 03 2024 01:32:32 GMT+0300 (Israel Daylight Time),6.0,19.0,37.2,208,2089,TRUE,FALSE
1717367557493,Mon Jun 03 2024 01:32:37 GMT+0300 (Israel Daylight Time),10.0,116.0,37.1,152,2047,TRUE,FALSE
1717367563789,Mon Jun 03 2024 01:32:43 GMT+0300 (Israel Daylight Time),-14.0,258.0,46.2,201,2656,FALSE,FALSE
1717367567644,Mon Jun 03 2024 01:32:47 GMT+0300 (Israel Daylight Time),-13.0,61.0,47.4,159,2723,TRUE,FALSE
1717367573760,Mon Jun 03 2024 01:32:53 GMT+0300 (Israel Daylight Time),28.0,79.0,44.7,68,2788,TRUE,FALSE
1717367579995,Mon Jun 03 2024 01:32:59 GMT+0300 (Israel Daylight Time),-50.0,-73.0,46.5,277,2829,TRUE,FALSE
1717367585713,Mon Jun 03 2024 01:33:05 GMT+0300 (Israel Daylight Time),26.0,-59.0,46.3,217,2796,TRUE,FALSE
1717367591363,Mon Jun 03 2024 01:33:11 GMT+0300 (Israel Daylight Time),9.0,-46.0,43.4,279,2823,TRUE,FALSE
1717367598433,Mon Jun 03 2024 01:33:18 GMT+0300 (Israel Daylight Time),-8.0,134.0,43.3,112,2764,TRUE,FALSE
1717367609239,Mon Jun 03 2024 01:33:29 GMT+0300 (Israel Daylight Time),-24.0,186.0,41.8,168,2968,FALSE,FALSE
1717367614871,Mon Jun 03 2024 01:33:34 GMT+0300 (Israel Daylight Time),-52.0,-200.0,36.7,185,2854,TRUE,FALSE
1717367623962,Mon Jun 03 2024 01:33:43 GMT+0300 (Israel Daylight Time),14.0,166.0,42.4,296,2892,FALSE,FALSE
1717367630556,Mon Jun 03 2024 01:33:50 GMT+0300 (Israel Daylight Time),-20.0,196.0,47.0,285,2845,FALSE,FALSE
1717367636843,Mon Jun 03 2024 01:33:56 GMT+0300 (Israel Daylight Time),38.0,87.0,42.5,268,2764,TRUE,FALSE
1717367645464,Mon Jun 03 2024 01:34:05 GMT+0300 (Israel Daylight Time),53.0,-66.0,40.4,256,2844,TRUE,FALSE
1717367652054,Mon Jun 03 2024 01:34:12 GMT+0300 (Israel Daylight Time),-35.0,-38.0,45.2,204,2803,TRUE,FALSE
1717367661510,Mon Jun 03 2024 01:34:21 GMT+0300 (Israel Daylight Time),101.0,-23.0,40.3,236,3673,TRUE,FALSE
1717367668492,Mon Jun 03 2024 01:34:28 GMT+0300 (Israel Daylight Time),41.0,55.0,42.8,219,3642,TRUE,FALSE
1717367676973,Mon Jun 03 2024 01:34:36 GMT+0300 (Israel Daylight Time),33.0,99.0,45.3,257,3599,TRUE,FALSE
1717367687116,Mon Jun 03 2024 01:34:47 GMT+0300 (Israel Daylight Time),66.0,-27.0,42.0,208,3621,TRUE,FALSE
1717367695397,Mon Jun 03 2024 01:34:55 GMT+0300 (Israel Daylight Time),27.0,14.0,44.1,308,3424,TRUE,FALSE
1717367702477,Mon Jun 03 2024 01:35:02 GMT+0300 (Israel Daylight Time),39.0,41.0,42.9,321,3591,TRUE,FALSE
1717367708412,Mon Jun 03 2024 01:35:08 GMT+0300 (Israel Daylight Time),18.0,217.0,49.1,281,3234,FALSE,FALSE
1717367711466,Mon Jun 03 2024 01:35:11 GMT+0300 (Israel Daylight Time),119.0,-92.0,40.4,219,3548,TRUE,FALSE
1717367721605,Mon Jun 03 2024 01:35:21 GMT+0300 (Israel Daylight Time),11.0,62.0,43.8,214,3578,TRUE,FALSE
1717367730530,Mon Jun 03 2024 01:35:30 GMT+0300 (Israel Daylight Time),43.0,-105.0,43.8,239,3943,TRUE,FALSE
1717367743048,Mon Jun 03 2024 01:35:43 GMT+0300 (Israel Daylight Time),-22.0,-18.0,43.5,87,3949,TRUE,FALSE
1717367752546,Mon Jun 03 2024 01:35:52 GMT+0300 (Israel Daylight Time),30.0,50.0,45.3,223,4458,TRUE,FALSE
1717367760582,Mon Jun 03 2024 01:36:00 GMT+0300 (Israel Daylight Time),35.0,-9.0,45.9,142,4661,TRUE,FALSE
1717367770900,Mon Jun 03 2024 01:36:10 GMT+0300 (Israel Daylight Time),61.0,95.0,46.6,343,4495,FALSE,FALSE
1717367781713,Mon Jun 03 2024 01:36:21 GMT+0300 (Israel Daylight Time),86.0,211.0,46.6,216,4651,FALSE,FALSE
1717367788094,Mon Jun 03 2024 01:36:28 GMT+0300 (Israel Daylight Time),34.0,20.0,43.6,240,4821,TRUE,FALSE
1717367797412,Mon Jun 03 2024 01:36:37 GMT+0300 (Israel Daylight Time),-2.0,96.0,46.7,311,4796,TRUE,FALSE
1717367806744,Mon Jun 03 2024 01:36:46 GMT+0300 (Israel Daylight Time),36.0,-75.0,44.7,204,4663,TRUE,FALSE
1717367814225,Mon Jun 03 2024 01:36:54 GMT+0300 (Israel Daylight Time),80.0,29.0,45.7,170,4640,TRUE,FALSE
1717367821642,Mon Jun 03 2024 01:37:01 GMT+0300 (Israel Daylight Time),120.0,207.0,45.3,240,4839,FALSE,FALSE
1717367829673,Mon Jun 03 2024 01:37:09 GMT+0300 (Israel Daylight Time),7.0,-183.0,41.8,281,4671,FALSE,FALSE
1717367839176,Mon Jun 03 2024 01:37:19 GMT+0300 (Israel Daylight Time),-65.0,-18.0,42.9,316,4614,TRUE,FALSE
1717367849769,Mon Jun 03 2024 01:37:29 GMT+0300 (Israel Daylight Time),-12.0,-25.0,45.7,147,4658,TRUE,FALSE
1717367860840,Mon Jun 03 2024 01:37:40 GMT+0300 (Israel Daylight Time),18.0,4.0,45.9,299,4619,TRUE,FALSE
1717367870209,Mon Jun 03 2024 01:37:50 GMT+0300 (Israel Daylight Time),-151.0,-134.0,42.0,423,4634,FALSE,FALSE
1717367884573,Mon Jun 03 2024 01:38:04 GMT+0300 (Israel Daylight Time),-12.0,142.0,43.5,391,4854,TRUE,FALSE
1717368065865,Mon Jun 03 2024 01:41:05 GMT+0300 (Israel Daylight Time),136.0,-25.0,47.8,1119,1918,FALSE,TRUE
1717368074818,Mon Jun 03 2024 01:41:14 GMT+0300 (Israel Daylight Time),48.0,-42.0,41.5,1208,1643,TRUE,TRUE
1717368080774,Mon Jun 03 2024 01:41:20 GMT+0300 (Israel Daylight Time),39.0,-42.0,51.2,1061,1693,TRUE,TRUE
1717368085400,Mon Jun 03 2024 01:41:25 GMT+0300 (Israel Daylight Time),134.0,-28.0,52.6,1180,1795,FALSE,TRUE
1717368092856,Mon Jun 03 2024 01:41:32 GMT+0300 (Israel Daylight Time),20.0,-190.0,38.9,152,2925,TRUE,FALSE
1717368099137,Mon Jun 03 2024 01:41:39 GMT+0300 (Israel Daylight Time),-59.0,96.0,45.6,-106,2939,TRUE,FALSE
1717368107409,Mon Jun 03 2024 01:41:47 GMT+0300 (Israel Daylight Time),6.0,84.0,42.2,285,2856,TRUE,FALSE
