HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627484802552,Wed Jul 28 2021 18:06:42 GMT+0300 (Israel Daylight Time),36.0,-23.0,49.6,-2081,249,TRUE,TRUE
1627484807410,Wed Jul 28 2021 18:06:47 GMT+0300 (Israel Daylight Time),-13.0,-48.0,48.9,-2130,217,TRUE,FALSE
1627484812932,Wed Jul 28 2021 18:06:52 GMT+0300 (Israel Daylight Time),-141.0,-84.0,58.4,-1980,204,TRUE,FALSE
1627484820187,Wed Jul 28 2021 18:07:00 GMT+0300 (Israel Daylight Time),27.0,90.0,51.2,-1802,46,TRUE,FALSE
1627484825370,Wed Jul 28 2021 18:07:05 GMT+0300 (Israel Daylight Time),72.0,-37.0,50.0,-1995,280,TRUE,TRUE
1627484834291,Wed Jul 28 2021 18:07:14 GMT+0300 (Israel Daylight Time),-42.0,62.0,44.5,-1948,1666,TRUE,FALSE
1627484840589,Wed Jul 28 2021 18:07:20 GMT+0300 (Israel Daylight Time),-112.0,42.0,34.9,-1838,1656,TRUE,FALSE
1627484846817,Wed Jul 28 2021 18:07:26 GMT+0300 (Israel Daylight Time),-80.0,66.0,37.9,-1683,1627,TRUE,FALSE
1627484855366,Wed Jul 28 2021 18:07:35 GMT+0300 (Israel Daylight Time),-11.0,-24.0,46.1,-1936,1478,TRUE,FALSE
1627484862466,Wed Jul 28 2021 18:07:42 GMT+0300 (Israel Daylight Time),-4.0,-62.0,32.4,-2017,1520,TRUE,FALSE
1627484869433,Wed Jul 28 2021 18:07:49 GMT+0300 (Israel Daylight Time),-81.0,155.0,41.8,-65,2614,TRUE,FALSE
1627484876598,Wed Jul 28 2021 18:07:56 GMT+0300 (Israel Daylight Time),18.0,-17.0,28.4,2,2260,TRUE,FALSE
1627484880861,Wed Jul 28 2021 18:08:00 GMT+0300 (Israel Daylight Time),-10.0,-1.0,50.8,14,2442,TRUE,FALSE
1627484885295,Wed Jul 28 2021 18:08:05 GMT+0300 (Israel Daylight Time),-11.0,-71.0,41.5,10,2389,TRUE,FALSE
1627484888867,Wed Jul 28 2021 18:08:08 GMT+0300 (Israel Daylight Time),-47.0,129.0,36.2,-142,2393,TRUE,FALSE
1627484897914,Wed Jul 28 2021 18:08:17 GMT+0300 (Israel Daylight Time),-61.0,-19.0,37.1,1791,1503,TRUE,FALSE
1627484904385,Wed Jul 28 2021 18:08:24 GMT+0300 (Israel Daylight Time),12.0,12.0,39.4,1929,1737,TRUE,FALSE
1627484909998,Wed Jul 28 2021 18:08:29 GMT+0300 (Israel Daylight Time),88.0,12.0,41.1,1926,1659,TRUE,FALSE
1627484915847,Wed Jul 28 2021 18:08:35 GMT+0300 (Israel Daylight Time),-128.0,-69.0,29.3,2198,1781,TRUE,FALSE
1627484919602,Wed Jul 28 2021 18:08:39 GMT+0300 (Israel Daylight Time),186.0,131.0,32.1,2287,1946,FALSE,FALSE
1627484924007,Wed Jul 28 2021 18:08:44 GMT+0300 (Israel Daylight Time),-158.0,-59.0,40.2,2231,1736,TRUE,FALSE
1627484928827,Wed Jul 28 2021 18:08:48 GMT+0300 (Israel Daylight Time),249.0,39.0,47.0,3083,536,FALSE,TRUE
1627484933158,Wed Jul 28 2021 18:08:53 GMT+0300 (Israel Daylight Time),120.0,-49.0,41.4,3113,48,TRUE,FALSE
1627484937637,Wed Jul 28 2021 18:08:57 GMT+0300 (Israel Daylight Time),13.0,-21.0,44.5,2969,15,TRUE,FALSE
1627484941588,Wed Jul 28 2021 18:09:01 GMT+0300 (Israel Daylight Time),165.0,-69.0,42.5,2861,285,FALSE,FALSE
1627484947501,Wed Jul 28 2021 18:09:07 GMT+0300 (Israel Daylight Time),35.0,-87.0,42.1,3015,50,TRUE,FALSE
1627484952783,Wed Jul 28 2021 18:09:12 GMT+0300 (Israel Daylight Time),-15.0,57.0,42.8,3032,70,TRUE,FALSE
1627484957184,Wed Jul 28 2021 18:09:17 GMT+0300 (Israel Daylight Time),31.0,-38.0,42.2,3071,266,TRUE,TRUE
